SIGLA;COD;POP-2008
RO;11;24577
RO;11;11962
RO;11;17169
RO;11;17009
RO;11;84581
RO;11;33879
RO;11;6777
RO;11;5707
RO;11;78263
RO;11;12790
RO;11;17147
RO;11;3737
RO;11;16784
RO;11;7633
RO;11;18216
RO;11;9761
RO;11;13973
RO;11;14122
RO;11;28617
RO;11;11793
RO;11;40541
RO;11;8110
RO;11;53955
RO;11;110707
RO;11;32214
RO;11;10653
RO;11;12446
RO;11;12710
RO;11;17653
RO;11;21650
RO;11;7978
RO;11;9966
RO;11;37142
RO;11;4696
RO;11;33803
RO;11;2427
RO;11;379186
RO;11;22896
RO;11;3819
RO;11;3260
RO;11;50249
RO;11;9566
RO;11;6477
RO;11;16091
RO;11;23283
RO;11;12088
RO;11;5070
RO;11;10254
RO;11;13785
RO;11;8981
RO;11;9008
RO;11;68405
AC;12;11987
AC;12;5559
AC;12;19829
AC;12;6745
AC;12;8897
AC;12;76392
AC;12;13960
AC;12;32210
AC;12;6333
AC;12;14387
AC;12;7405
AC;12;13728
AC;12;17921
AC;12;14309
AC;12;8562
AC;12;301398
AC;12;13020
AC;12;4165
AC;12;35544
AC;12;19506
AC;12;33368
AC;12;14848
AM;13;13445
AM;13;8694
AM;13;8483
AM;13;14386
AM;13;18170
AM;13;14292
AM;13;31107
AM;13;25318
AM;13;27664
AM;13;30476
AM;13;14374
AM;13;13677
AM;13;30858
AM;13;32160
AM;13;10958
AM;13;11844
AM;13;25950
AM;13;32190
AM;13;24030
AM;13;67055
AM;13;16418
AM;13;30473
AM;13;17148
AM;13;19783
AM;13;14684
AM;13;40027
AM;13;17850
AM;13;33834
AM;13;87896
AM;13;8300
AM;13;9515
AM;13;5025
AM;13;9032
AM;13;17337
AM;13;38451
AM;13;85279
AM;13;20095
AM;13;1709010
AM;13;45996
AM;13;18051
AM;13;48808
AM;13;18198
AM;13;30357
AM;13;15343
AM;13;18796
AM;13;105742
AM;13;18938
AM;13;25474
AM;13;26004
AM;13;17780
AM;13;30176
AM;13;40806
AM;13;32067
AM;13;9079
AM;13;8479
AM;13;47051
AM;13;19966
AM;13;64703
AM;13;19858
AM;13;10130
AM;13;16035
AM;13;17971
RR;14;14562
RR;14;7980
RR;14;260930
RR;14;10604
RR;14;11638
RR;14;18789
RR;14;7400
RR;14;6118
RR;14;13017
RR;14;7403
RR;14;9019
RR;14;25714
RR;14;5945
RR;14;5922
RR;14;7742
PA;15;138005
PA;15;6879
PA;15;48878
PA;15;32368
PA;15;30389
PA;15;55688
PA;15;31475
PA;15;96842
PA;15;26563
PA;15;495480
PA;15;19410
PA;15;38760
PA;15;22092
PA;15;19839
PA;15;19780
PA;15;27652
PA;15;3935
PA;15;89909
PA;15;1424124
PA;15;12861
PA;15;45616
PA;15;13559
PA;15;11817
PA;15;105908
PA;15;19531
PA;15;7673
PA;15;50400
PA;15;99223
PA;15;23429
PA;15;19996
PA;15;18481
PA;15;115377
PA;15;26135
PA;15;63799
PA;15;52557
PA;15;159110
PA;15;20228
PA;15;11367
PA;15;46916
PA;15;22148
PA;15;11348
PA;15;18102
PA;15;26864
PA;15;12644
PA;15;35790
PA;15;39161
PA;15;29308
PA;15;18710
PA;15;15516
PA;15;25436
PA;15;28583
PA;15;25306
PA;15;35005
PA;15;56639
PA;15;10134
PA;15;42636
PA;15;30573
PA;15;124865
PA;15;42332
PA;15;39892
PA;15;54513
PA;15;35155
PA;15;24483
PA;15;28762
PA;15;7883
PA;15;199946
PA;15;29269
PA;15;27727
PA;15;98746
PA;15;23487
PA;15;17989
PA;15;24328
PA;15;67195
PA;15;63543
PA;15;30117
PA;15;23599
PA;15;14808
PA;15;12568
PA;15;21843
PA;15;54506
PA;15;48287
PA;15;26487
PA;15;57765
PA;15;15719
PA;15;21171
PA;15;40768
PA;15;7329
PA;15;95479
PA;15;145326
PA;15;6583
PA;15;7908
PA;15;13106
PA;15;19030
PA;15;25743
PA;15;47967
PA;15;27689
PA;15;26866
PA;15;10883
PA;15;13232
PA;15;66762
PA;15;17457
PA;15;47074
PA;15;35033
PA;15;38681
PA;15;17858
PA;15;14439
PA;15;6190
PA;15;54464
PA;15;18523
PA;15;17156
PA;15;23001
PA;15;52856
PA;15;275571
PA;15;6267
PA;15;26222
PA;15;16757
PA;15;21889
PA;15;27897
PA;15;64223
PA;15;11986
PA;15;25291
PA;15;4949
PA;15;19691
PA;15;11963
PA;15;44532
PA;15;21499
PA;15;5444
PA;15;14566
PA;15;22244
PA;15;69581
PA;15;10372
PA;15;15885
PA;15;48522
PA;15;27374
PA;15;16860
PA;15;27491
PA;15;94015
PA;15;34485
PA;15;34875
PA;15;45680
PA;15;55144
PA;15;9809
PA;15;40067
AP;16;7745
AP;16;9060
AP;16;4528
AP;16;5301
AP;16;3583
AP;16;39285
AP;16;359020
AP;16;14418
AP;16;20226
AP;16;7800
AP;16;14598
AP;16;3533
AP;16;95733
AP;16;3921
AP;16;13160
AP;16;11253
TO;17;2310
TO;17;4120
TO;17;5860
TO;17;7692
TO;17;8200
TO;17;9615
TO;17;3264
TO;17;4140
TO;17;5618
TO;17;5579
TO;17;9244
TO;17;119128
TO;17;5154
TO;17;26722
TO;17;7034
TO;17;10928
TO;17;15248
