ESTADOS;UF;COD;POP
BRASIL;BR;55;201032714
RONDÔNIA;RO;11;1728214
ACRE;AC;12;776463
AMAZONAS;AM;13;3807921
RORAIMA;RR;14;488072
PARÁ;PA;15;7969654
AMAPÁ;AP;16;734996
TOCANTINS;TO;17;1478164
MARANHÃO;MA;21;6794301
PIAUÍ;PI;22;3184166
CEARÁ;CE;23;8778576
RIO GRANDE DO NORTE;RN;24;3373959
PARAÍBA;PB;25;3914421
PERNAMBUCO;PE;26;9208550
ALAGOAS;AL;27;3300935
SERGIPE;SE;28;2195662
BAHIA;BA;29;15044137
MINAS GERAIS;MG;31;20593356
ESPÍRITO SANTO;ES;32;3839366
RIO DE JANEIRO;RJ;33;16369179
SÃO PAULO;SP;35;43663669
PARANÁ;PR;41;10997465
SANTA CATARINA;SC;42;6634254
RIO GRANDE DO SUL;RS;43;11164043
MATO GROSSO DO SUL;MS;50;2587269
MATO GROSSO;MT;51;3182113
GOIÁS;GO;52;6434048
DISTRITO FEDERAL;DF;53;2789761
