SIGLA;COD;POP-2005
RO;11;28629
RO;11;15035
RO;11;15993
RO;11;19586
RO;11;85031
RO;11;40120
RO;11;7436
RO;11;5450
RO;11;75988
RO;11;17529
RO;11;16700
RO;11;4110
RO;11;17366
RO;11;6477
RO;11;18883
RO;11;9569
RO;11;11349
RO;11;8827
RO;11;27274
RO;11;18002
RO;11;41467
RO;11;8413
RO;11;55840
RO;11;112439
RO;11;28649
RO;11;11241
RO;11;14000
RO;11;16233
RO;11;17862
RO;11;19496
RO;11;9329
RO;11;12819
RO;11;40757
RO;11;3268
RO;11;31466
RO;11;2617
RO;11;373917
RO;11;25473
RO;11;4381
RO;11;3501
RO;11;49522
RO;11;11149
RO;11;7234
RO;11;16764
RO;11;30082
RO;11;15535
RO;11;5852
RO;11;13840
RO;11;17322
RO;11;10471
RO;11;10354
RO;11;63947
AC;12;11451
AC;12;5063
AC;12;17721
AC;12;8423
AC;12;7067
AC;12;84335
AC;12;13782
AC;12;38241
AC;12;4633
AC;12;12747
AC;12;7636
AC;12;8455
AC;12;16691
AC;12;12085
AC;12;4962
AC;12;305731
AC;12;9796
AC;12;3395
AC;12;32989
AC;12;20505
AC;12;30335
AC;12;13693
AM;13;14369
AM;13;8865
AM;13;6889
AM;13;12731
AM;13;18790
AM;13;11294
AM;13;28729
AM;13;32169
AM;13;26373
AM;13;26191
AM;13;13220
AM;13;12286
AM;13;28261
AM;13;35525
AM;13;9996
AM;13;9880
AM;13;25918
AM;13;24972
AM;13;16725
AM;13;84309
AM;13;19957
AM;13;29492
AM;13;13548
AM;13;37595
AM;13;12066
AM;13;29164
AM;13;17258
AM;13;40436
AM;13;80190
AM;13;7995
AM;13;8625
AM;13;13026
AM;13;7516
AM;13;27110
AM;13;26475
AM;13;83703
AM;13;13918
AM;13;1644690
AM;13;38148
AM;13;20254
AM;13;45813
AM;13;16630
AM;13;30252
AM;13;7002
AM;13;20441
AM;13;109150
AM;13;17125
AM;13;23636
AM;13;24283
AM;13;7617
AM;13;34875
AM;13;34070
AM;13;28861
AM;13;8748
AM;13;9046
AM;13;43974
AM;13;17693
AM;13;70809
AM;13;18830
AM;13;13190
AM;13;22639
AM;13;8988
RR;14;22102
RR;14;6087
RR;14;242179
RR;14;12626
RR;14;10482
RR;14;17746
RR;14;5869
RR;14;6060
RR;14;11649
RR;14;5335
RR;14;8215
RR;14;24615
RR;14;5432
RR;14;6490
RR;14;6430
PA;15;131158
PA;15;6952
PA;15;61487
PA;15;35455
PA;15;31633
PA;15;40015
PA;15;34280
PA;15;84398
PA;15;20852
PA;15;482171
PA;15;6880
PA;15;34695
PA;15;24344
PA;15;18426
PA;15;13623
PA;15;21775
PA;15;3412
PA;15;74120
PA;15;1405871
PA;15;17192
PA;15;44216
