SIGLA;COD;POP-2002
RO;11;27237
RO;11;13490
RO;11;14084
RO;11;19750
RO;11;78039
RO;11;30521
RO;11;7490
RO;11;5398
RO;11;74381
RO;11;13500
RO;11;14314
RO;11;4178
RO;11;17925
RO;11;5842
RO;11;20881
RO;11;10160
RO;11;9919
RO;11;7305
RO;11;26221
RO;11;15106
RO;11;39194
RO;11;7356
RO;11;54352
RO;11;108694
RO;11;24724
RO;11;11308
RO;11;13438
RO;11;13838
RO;11;17334
RO;11;16362
RO;11;8601
RO;11;12458
RO;11;40841
RO;11;3503
RO;11;31656
RO;11;2557
RO;11;347844
RO;11;26065
RO;11;4334
RO;11;3127
RO;11;48101
RO;11;11450
RO;11;7116
RO;11;13636
RO;11;25959
RO;11;12987
RO;11;5697
RO;11;12047
RO;11;15700
RO;11;8655
RO;11;10028
RO;11;57074
AC;12;8454
AC;12;3611
AC;12;17649
AC;12;6382
AC;12;5814
AC;12;71571
AC;12;11785
AC;12;28606
AC;12;4505
AC;12;11779
AC;12;6737
AC;12;8341
AC;12;15759
AC;12;11895
AC;12;5283
AC;12;267740
AC;12;8398
AC;12;2576
AC;12;30519
AC;12;20726
AC;12;26582
AC;12;12230
AM;13;12921
AM;13;7849
AM;13;6676
AM;13;11810
AM;13;15575
AM;13;10482
AM;13;25868
AM;13;26966
AM;13;23897
AM;13;24251
AM;13;11796
AM;13;11109
AM;13;27370
AM;13;31018
AM;13;9218
AM;13;10439
AM;13;24289
AM;13;26657
AM;13;17079
AM;13;73075
AM;13;18358
AM;13;27274
AM;13;19633
AM;13;34679
AM;13;13583
AM;13;31534
AM;13;15833
AM;13;35128
AM;13;74914
AM;13;8263
AM;13;7766
AM;13;10181
AM;13;6908
AM;13;24101
AM;13;28094
AM;13;77171
AM;13;13130
AM;13;1488805
AM;13;38076
AM;13;18182
AM;13;42043
AM;13;15798
AM;13;25992
AM;13;8731
AM;13;18273
AM;13;96750
AM;13;17104
AM;13;19562
AM;13;19910
AM;13;9538
AM;13;30527
AM;13;31379
AM;13;25110
AM;13;7711
AM;13;8223
AM;13;40022
AM;13;19587
AM;13;66664
AM;13;16665
AM;13;11274
AM;13;19854
AM;13;11126
RR;14;19316
RR;14;5560
RR;14;214541
RR;14;10434
RR;14;9213
RR;14;15448
RR;14;5752
RR;14;5211
RR;14;11382
RR;14;5868
RR;14;7401
RR;14;19819
RR;14;5206
RR;14;5707
RR;14;6013
PA;15;123184
PA;15;6291
PA;15;55270
PA;15;31503
PA;15;25291
PA;15;41190
PA;15;34065
PA;15;79776
PA;15;19172
PA;15;423325
PA;15;8558
PA;15;33577
PA;15;21278
PA;15;16495
PA;15;13679
PA;15;21339
PA;15;3656
PA;15;66913
PA;15;1322683
PA;15;15467
PA;15;38458
PA;15;13426
PA;15;10084
PA;15;96618
PA;15;18387
PA;15;7686
PA;15;36376
PA;15;81845
PA;15;22487
PA;15;16317
PA;15;16952
PA;15;100241
PA;15;11761
PA;15;58372
PA;15;50677
PA;15;141318
PA;15;17339
PA;15;11115
PA;15;43668
PA;15;22157
PA;15;6043
PA;15;17863
PA;15;21028
PA;15;9429
PA;15;27351
PA;15;42720
PA;15;33424
PA;15;11462
PA;15;14585
PA;15;25010
PA;15;25135
PA;15;23967
PA;15;33472
PA;15;54868
PA;15;7894
PA;15;28473
PA;15;30393
PA;15;95252
PA;15;54088
PA;15;27058
PA;15;42773
PA;15;32868
PA;15;20214
PA;15;24562
PA;15;7769
PA;15;177352
PA;15;27991
PA;15;25692
PA;15;82095
PA;15;21735
PA;15;22437
PA;15;20972
PA;15;55583
PA;15;62041
PA;15;26119
PA;15;21469
PA;15;12573
PA;15;11822
PA;15;29018
PA;15;44610
PA;15;47370
PA;15;24194
PA;15;49945
PA;15;14741
PA;15;19637
PA;15;29540
PA;15;7968
PA;15;79988
PA;15;78303
PA;15;7641
PA;15;8137
PA;15;13160
PA;15;14026
PA;15;19156
PA;15;39851
PA;15;25351
PA;15;29729
PA;15;10087
PA;15;11270
PA;15;65766
PA;15;15596
PA;15;41703
PA;15;25752
PA;15;35717
PA;15;15797
PA;15;11929
PA;15;5356
PA;15;45310
PA;15;19519
PA;15;11739
PA;15;21461
PA;15;34436
PA;15;266391
PA;15;5633
PA;15;20405
PA;15;15314
PA;15;21208
PA;15;28779
PA;15;36668
PA;15;14798
PA;15;27531
PA;15;4001
PA;15;17742
PA;15;13659
PA;15;43140
PA;15;18240
PA;15;3499
PA;15;14173
PA;15;20479
PA;15;42796
PA;15;8889
PA;15;15390
PA;15;48508
PA;15;23980
PA;15;15138
PA;15;24033
PA;15;77728
PA;15;21740
PA;15;49380
PA;15;40756
PA;15;51806
PA;15;10876
PA;15;33622
AP;16;7219
AP;16;7057
AP;16;3617
AP;16;3817
AP;16;3226
AP;16;30986
AP;16;306583
AP;16;12633
AP;16;14008
AP;16;4545
AP;16;12262
AP;16;2468
AP;16;87478
AP;16;3587
AP;16;7632
AP;16;9393
TO;17;2247
TO;17;3289
TO;17;6266
TO;17;8647
TO;17;8443
TO;17;10980
TO;17;2892
TO;17;3570
TO;17;6873
TO;17;5611
TO;17;9234
TO;17;117972
TO;17;4619
TO;17;27128
TO;17;6916
TO;17;10977
TO;17;13522
TO;17;3023
TO;17;8584
TO;17;10593
TO;17;2617
TO;17;3635
TO;17;4916
TO;17;4601
TO;17;2289
TO;17;1968
TO;17;4655
TO;17;7889
TO;17;2139
TO;17;6113
TO;17;3042
TO;17;2054
TO;17;3575
TO;17;3846
TO;17;2211
TO;17;3400
TO;17;1245
TO;17;26202
TO;17;9482
TO;17;4451
TO;17;4433
TO;17;4209
TO;17;7188
TO;17;1437
TO;17;4480
TO;17;15952
TO;17;5879
TO;17;7126
TO;17;4605
TO;17;8180
TO;17;3836
TO;17;5449
TO;17;8371
TO;17;19239
TO;17;2425
TO;17;4773
TO;17;10962
TO;17;20347
TO;17;67254
TO;17;1171
TO;17;6745
TO;17;6477
TO;17;3373
TO;17;2284
TO;17;3171
TO;17;2428
TO;17;7003
TO;17;2643
TO;17;2677
TO;17;1213
TO;17;3707
TO;17;2154
TO;17;3542
TO;17;1733
TO;17;3045
TO;17;25524
TO;17;11990
TO;17;4909
TO;17;1892
TO;17;2665
TO;17;9122
TO;17;5360
TO;17;9746
TO;17;3214
TO;17;3183
TO;17;2359
TO;17;2284
TO;17;981
TO;17;161137
TO;17;3626
TO;17;4994
TO;17;6595
TO;17;37892
TO;17;10300
TO;17;4436
TO;17;9025
TO;17;8739
TO;17;4865
TO;17;4629
TO;17;3089
TO;17;5132
TO;17;4481
TO;17;6155
TO;17;2454
TO;17;45603
TO;17;7278
TO;17;3799
TO;17;2183
TO;17;3354
TO;17;3693
TO;17;1286
TO;17;2430
TO;17;5899
TO;17;2701
TO;17;3437
TO;17;5923
TO;17;2294
TO;17;1877
TO;17;4420
TO;17;2202
TO;17;2567
TO;17;3496
TO;17;1362
TO;17;8807
TO;17;2769
TO;17;3915
TO;17;5349
TO;17;4482
TO;17;9982
TO;17;1408
TO;17;13541
TO;17;1615
TO;17;2449
TO;17;5828
TO;17;23978
TO;17;1217
TO;17;1395
TO;17;10486
TO;17;11984
MA;21;93455
MA;21;4701
MA;21;9738
MA;21;21650
MA;21;18681
MA;21;6165
MA;21;21289
MA;21;31748
MA;21;10140
MA;21;5771
MA;21;33015
MA;21;21555
MA;21;10287
MA;21;11662
MA;21;8992
MA;21;34993
MA;21;28985
MA;21;26690
MA;21;10307
MA;21;93263
MA;21;10766
MA;21;15899
MA;21;4792
MA;21;64059
MA;21;15738
MA;21;78468
MA;21;41415
MA;21;9322
MA;21;5297
MA;21;5374
MA;21;19347
MA;21;5469
MA;21;5470
MA;21;35577
MA;21;17409
MA;21;12069
MA;21;28242
MA;21;9199
MA;21;24393
MA;21;21510
MA;21;55405
MA;21;14341
MA;21;7704
MA;21;9975
MA;21;12855
MA;21;12016
MA;21;17730
MA;21;17665
MA;21;10605
MA;21;23849
MA;21;19201
MA;21;141074
MA;21;10139
MA;21;7645
MA;21;6408
MA;21;15098
MA;21;62260
MA;21;11974
MA;21;112271
MA;21;42749
MA;21;37236
MA;21;10400
MA;21;57087
MA;21;35535
MA;21;12117
MA;21;22425
MA;21;9807
MA;21;21587
MA;21;23667
MA;21;7532
MA;21;4857
MA;21;15010
MA;21;11693
MA;21;14391
MA;21;6915
MA;21;16844
MA;21;8854
MA;21;11516
MA;21;14981
MA;21;6466
MA;21;12178
MA;21;28106
MA;21;6120
MA;21;49089
MA;21;12700
MA;21;21517
MA;21;21659
MA;21;10311
MA;21;9569
MA;21;231134
MA;21;14359
MA;21;50532
MA;21;24832
MA;21;4820
MA;21;10241
MA;21;24836
MA;21;14471
MA;21;5804
MA;21;40962
MA;21;9770
MA;21;8296
MA;21;14029
MA;21;9648
MA;21;8332
MA;21;5969
MA;21;10811
MA;21;10142
MA;21;5717
MA;21;13342
MA;21;15465
MA;21;7106
MA;21;9027
MA;21;12050
MA;21;20041
MA;21;26668
MA;21;7607
MA;21;4931
MA;21;20489
MA;21;16511
MA;21;13248
MA;21;26186
MA;21;10539
MA;21;14956
MA;21;8455
MA;21;4096
MA;21;4461
MA;21;15212
MA;21;17131
MA;21;10113
MA;21;83409
MA;21;17621
MA;21;18291
MA;21;32708
MA;21;14955
MA;21;15784
MA;21;11718
MA;21;19234
MA;21;40879
MA;21;19738
MA;21;30512
MA;21;13007
MA;21;18168
MA;21;28457
MA;21;69588
MA;21;25421
MA;21;14829
MA;21;21936
MA;21;17256
MA;21;6259
MA;21;40361
MA;21;9957
MA;21;5124
MA;21;14010
MA;21;9563
MA;21;11453
MA;21;18300
MA;21;21092
MA;21;6682
MA;21;34102
MA;21;5160
MA;21;4943
MA;21;31791
MA;21;73870
MA;21;73177
MA;21;19834
MA;21;30316
