ESTADOS;UF;COD;POP
BRASIL;BR;55;161790311
RONDÔNIA;RO;11;1276173
ACRE;AC;12;514050
AMAZONAS;AM;13;2520684
RORAIMA;RR;14;260705
PARÁ;PA;15;5768476
AMAPÁ;AP;16;420834
TOCANTINS;TO;17;1107803
MARANHÃO;MA;21;5356853
PIAUÍ;PI;22;2714999
CEARÁ;CE;23;7013376
RIO GRANDE DO NORTE;RN;24;2624397
PARAÍBA;PB;25;3353624
PERNAMBUCO;PE;26;7523755
ALAGOAS;AL;27;2688117
SERGIPE;SE;28;1684953
BAHIA;BA;29;12851268
MINAS GERAIS;MG;31;17100314
ESPÍRITO SANTO;ES;32;2895547
RIO DE JANEIRO;RJ;33;13681410
SÃO PAULO;SP;35;35284072
PARANÁ;PR;41;9258813
SANTA CATARINA;SC;42;5028339
RIO GRANDE DO SUL;RS;43;9866928
MATO GROSSO DO SUL;MS;50;1995578
MATO GROSSO;MT;51;2331663
GOIÁS;GO;52;4744174
DISTRITO FEDERAL;DF;53;1923406
