SIGLA;COD;POP-2006
RO;11;29005
RO;11;15454
RO;11;16510
RO;11;19542
RO;11;86924
RO;11;42717
RO;11;7421
RO;11;5464
RO;11;76422
RO;11;18619
RO;11;17346
RO;11;4092
RO;11;17215
RO;11;6649
RO;11;18342
RO;11;9409
RO;11;11735
RO;11;9238
RO;11;27559
RO;11;18786
RO;11;42082
RO;11;8699
RO;11;56242
RO;11;113453
RO;11;29711
RO;11;11223
RO;11;14152
RO;11;16881
RO;11;18005
RO;11;20343
RO;11;9526
RO;11;12916
RO;11;40735
RO;11;3204
RO;11;31415
RO;11;2633
RO;11;380974
RO;11;25313
RO;11;4393
RO;11;3603
RO;11;49907
RO;11;11067
RO;11;7266
RO;11;17610
RO;11;31198
RO;11;16225
RO;11;5894
RO;11;14326
RO;11;17761
RO;11;10962
RO;11;10442
RO;11;65807
AC;12;11786
AC;12;5153
AC;12;18056
AC;12;8751
AC;12;7403
AC;12;86725
AC;12;14193
AC;12;39365
AC;12;4662
AC;12;13116
AC;12;7843
AC;12;8482
AC;12;17014
AC;12;12335
AC;12;4851
AC;12;314127
AC;12;9989
AC;12;3583
AC;12;33614
AC;12;21000
AC;12;30711
AC;12;13893
AM;13;14776
AM;13;9150
AM;13;6949
AM;13;12990
AM;13;19694
AM;13;11523
AM;13;29534
AM;13;33633
AM;13;27069
AM;13;26737
AM;13;13620
AM;13;12617
AM;13;28480
AM;13;36793
AM;13;10215
AM;13;9723
AM;13;26377
AM;13;24499
AM;13;16626
AM;13;87468
AM;13;20407
AM;13;30125
AM;13;13746
AM;13;39144
AM;13;12228
AM;13;28498
AM;13;17806
AM;13;42812
AM;13;81674
AM;13;7919
AM;13;8866
AM;13;13096
AM;13;7687
AM;13;27955
AM;13;26020
AM;13;84656
AM;13;14140
AM;13;1688524
AM;13;38168
AM;13;20836
AM;13;46873
AM;13;16864
AM;13;31450
AM;13;6516
AM;13;21051
AM;13;112636
AM;13;17131
AM;13;24781
AM;13;25513
AM;13;7077
AM;13;36098
AM;13;34827
AM;13;29916
AM;13;9039
AM;13;9278
AM;13;45085
AM;13;17160
AM;13;71975
AM;13;19439
AM;13;13729
AM;13;23422
AM;13;8386
RR;14;22856
RR;14;6229
RR;14;249655
RR;14;13220
RR;14;10826
RR;14;18367
RR;14;5901
RR;14;6290
RR;14;11722
RR;14;5191
RR;14;8435
RR;14;25913
RR;14;5494
RR;14;6702
RR;14;6543
PA;15;133316
PA;15;7131
PA;15;63170
PA;15;36524
PA;15;33350
PA;15;39697
PA;15;34338
PA;15;85649
PA;15;21307
PA;15;498095
PA;15;6425
PA;15;34998
PA;15;25174
PA;15;18949
PA;15;13607
PA;15;21893
PA;15;3345
PA;15;76071
PA;15;1428368
PA;15;17659
PA;15;45774
PA;15;14232
PA;15;10762
PA;15;103751
PA;15;21386
PA;15;8243
PA;15;46250
PA;15;86084
PA;15;26143
PA;15;17658
PA;15;20759
PA;15;106816
PA;15;13870
PA;15;61519
PA;15;52960
PA;15;158462
PA;15;17313
PA;15;12328
PA;15;44375
PA;15;25176
PA;15;6207
PA;15;13785
PA;15;23573
PA;15;9945
PA;15;30343
PA;15;50739
PA;15;43013
PA;15;15043
PA;15;15342
PA;15;26991
PA;15;31293
PA;15;26150
PA;15;36164
PA;15;60558
PA;15;8430
PA;15;36851
PA;15;30080
PA;15;96515
PA;15;65229
PA;15;34683
PA;15;48368
PA;15;37064
PA;15;21847
PA;15;22580
PA;15;7961
PA;15;200801
PA;15;29046
PA;15;28141
PA;15;101356
PA;15;22631
PA;15;25887
PA;15;22054
PA;15;62223
PA;15;69372
PA;15;27758
PA;15;27943
PA;15;14348
PA;15;12869
PA;15;39245
PA;15;51627
PA;15;49582
PA;15;26554
PA;15;53999
PA;15;15605
PA;15;20054
PA;15;31179
PA;15;9033
PA;15;88877
PA;15;95225
PA;15;8939
PA;15;9086
PA;15;14389
PA;15;15614
PA;15;20316
PA;15;44393
PA;15;29890
PA;15;30278
PA;15;11014
PA;15;12189
PA;15;72085
PA;15;10818
PA;15;46311
PA;15;28497
PA;15;41416
PA;15;17505
PA;15;13313
PA;15;5611
PA;15;50543
PA;15;19818
PA;15;13710
PA;15;22996
PA;15;42523
PA;15;276074
PA;15;6135
PA;15;21836
PA;15;14608
PA;15;24230
PA;15;32231
PA;15;41813
PA;15;16186
PA;15;27242
PA;15;3916
PA;15;18389
PA;15;17207
PA;15;47599
PA;15;19688
PA;15;2752
PA;15;10285
PA;15;21789
PA;15;53755
PA;15;10468
PA;15;17395
PA;15;51612
PA;15;27090
PA;15;17892
PA;15;20826
PA;15;87602
PA;15;27987
PA;15;59881
PA;15;42214
PA;15;53607
PA;15;10206
PA;15;29606
AP;16;7465
AP;16;7878
AP;16;4466
AP;16;4458
AP;16;4062
AP;16;37194
AP;16;368367
AP;16;14259
AP;16;16826
AP;16;5893
AP;16;15328
AP;16;2926
AP;16;101864
AP;16;4326
AP;16;8916
AP;16;11487
TO;17;2392
TO;17;3650
TO;17;6491
TO;17;9082
TO;17;8280
TO;17;12156
TO;17;2898
TO;17;3703
TO;17;8614
TO;17;6105
TO;17;8951
TO;17;130105
TO;17;5691
TO;17;29936
TO;17;6641
TO;17;10960
TO;17;14923
TO;17;2827
TO;17;7974
TO;17;11257
TO;17;2641
TO;17;3776
TO;17;4500
TO;17;4725
TO;17;2204
TO;17;2082
TO;17;4096
TO;17;8008
TO;17;2430
TO;17;7307
TO;17;3173
TO;17;2170
TO;17;4472
TO;17;4314
TO;17;2332
TO;17;3716
TO;17;1184
TO;17;28467
TO;17;9810
TO;17;4268
TO;17;4574
TO;17;3892
TO;17;6862
TO;17;1571
TO;17;5000
TO;17;17270
TO;17;6137
TO;17;6766
