SIGLA;COD;POP-2004
PE;26;11613
PE;26;18040
PE;26;14433
PE;26;4637
PE;26;66390
PE;26;23971
PE;26;3885
PE;26;26623
PE;26;35358
PE;26;14308
PE;26;22018
PE;26;15424
PE;26;630008
PE;26;12334
PE;26;14757
PE;26;14158
PE;26;26820
PE;26;16039
PE;26;10526
PE;26;12606
PE;26;14281
PE;26;14143
PE;26;22052
PE;26;10773
PE;26;15760
PE;26;21387
PE;26;33487
PE;26;57072
PE;26;23335
PE;26;10628
PE;26;13470
PE;26;15480
PE;26;13253
PE;26;10725
PE;26;54373
PE;26;30647
PE;26;381502
PE;26;22906
PE;26;10873
PE;26;58653
PE;26;54794
PE;26;10164
PE;26;25123
PE;26;9801
PE;26;19568
PE;26;29130
PE;26;47975
PE;26;288273
PE;26;20567
PE;26;57772
PE;26;30160
PE;26;247322
PE;26;11996
PE;26;24429
PE;26;11797
PE;26;22665
PE;26;6551
PE;26;1486869
PE;26;18245
PE;26;41668
PE;26;21656
PE;26;14950
PE;26;7763
PE;26;53808
PE;26;15093
PE;26;16318
PE;26;11715
PE;26;10286
PE;26;69677
PE;26;13123
PE;26;41870
PE;26;11905
PE;26;10509
PE;26;10781
PE;26;46963
PE;26;35390
PE;26;20171
PE;26;21151
PE;26;15222
PE;26;31979
PE;26;29874
PE;26;92732
PE;26;16944
PE;26;70179
PE;26;17252
PE;26;31732
PE;26;32937
PE;26;5405
PE;26;52329
PE;26;24752
PE;26;13572
PE;26;16965
PE;26;18550
PE;26;21124
PE;26;6049
PE;26;7949
PE;26;56726
PE;26;25337
PE;26;12630
PE;26;23536
PE;26;14898
PE;26;21649
PE;26;8103
PE;26;14176
PE;26;9212
PE;26;8517
PE;26;15317
PE;26;29231
PE;26;123130
PE;26;15093
AL;27;18918
AL;27;18625
AL;27;197520
AL;27;41572
AL;27;13366
AL;27;7112
AL;27;15705
AL;27;5919
AL;27;6696
AL;27;25273
AL;27;12874
AL;27;8600
AL;27;19169
AL;27;4797
AL;27;43213
AL;27;8669
AL;27;16669
AL;27;18650
AL;27;7046
AL;27;7536
AL;27;13119
AL;27;17880
AL;27;5314
AL;27;44313
AL;27;22314
AL;27;43909
AL;27;11607
AL;27;16729
AL;27;22408
AL;27;4040
AL;27;11918
AL;27;30405
AL;27;14841
AL;27;25305
AL;27;22273
AL;27;19295
AL;27;6220
AL;27;7227
AL;27;6753
AL;27;6514
AL;27;12916
AL;27;20096
AL;27;3966
AL;27;24659
AL;27;22085
AL;27;26734
AL;27;884320
AL;27;17835
AL;27;4136
AL;27;24617
AL;27;14871
AL;27;41538
AL;27;15237
AL;27;24292
AL;27;25490
AL;27;12722
AL;27;4336
AL;27;7804
AL;27;22592
AL;27;8231
AL;27;21348
AL;27;7390
AL;27;5070
AL;27;10492
AL;27;10452
AL;27;4982
AL;27;69211
AL;27;25811
AL;27;10949
AL;27;8633
AL;27;13583
AL;27;7674
AL;27;59429
AL;27;16704
AL;27;32200
AL;27;2504
AL;27;22854
AL;27;14111
AL;27;10558
AL;27;24614
AL;27;18764
AL;27;12159
AL;27;66915
AL;27;6749
AL;27;6692
AL;27;44254
AL;27;11289
AL;27;6673
AL;27;20596
AL;27;27638
AL;27;28673
AL;27;43265
AL;27;6354
AL;27;31396
AL;27;14283
AL;27;13296
AL;27;6019
AL;27;17168
AL;27;40584
AL;27;23907
AL;27;59233
AL;27;27644
SE;28;2331
SE;28;19406
SE;28;491898
SE;28;11124
SE;28;17021
SE;28;20413
SE;28;24790
SE;28;7308
SE;28;16075
SE;28;4017
SE;28;20977
SE;28;27243
SE;28;18977
SE;28;10671
SE;28;5509
SE;28;15980
SE;28;3811
SE;28;3585
SE;28;61636
SE;28;5402
SE;28;12843
SE;28;11824
SE;28;2529
SE;28;5695
SE;28;8874
SE;28;13945
SE;28;82957
SE;28;37798
SE;28;5348
SE;28;28128
SE;28;15352
SE;28;14288
SE;28;89075
SE;28;25928
SE;28;6230
SE;28;3546
SE;28;12250
SE;28;15850
SE;28;11541
SE;28;12612
SE;28;7316
SE;28;20141
SE;28;28671
SE;28;23523
SE;28;6718
SE;28;164569
SE;28;8123
SE;28;11554
SE;28;2879
SE;28;8249
SE;28;5662
SE;28;8495
SE;28;29032
SE;28;21157
SE;28;26787
SE;28;28562
SE;28;20336
SE;28;8740
SE;28;16161
SE;28;7853
SE;28;19984
SE;28;14503
SE;28;3714
SE;28;6289
SE;28;10694
SE;28;73415
SE;28;10034
SE;28;2691
SE;28;3609
SE;28;39182
SE;28;7231
SE;28;2860
SE;28;46043
SE;28;13641
SE;28;21391
BA;29;9228
BA;29;14776
BA;29;15055
BA;29;14604
BA;29;15012
BA;29;4650
BA;29;136868
BA;29;23323
BA;29;6763
BA;29;32689
BA;29;24829
BA;29;15956
BA;29;25681
BA;29;13678
BA;29;15058
BA;29;14008
BA;29;9334
BA;29;12497
BA;29;11770
BA;29;7476
BA;29;17296
BA;29;7015
BA;29;12087
BA;29;15505
BA;29;48735
BA;29;10090
BA;29;9999
BA;29;8673
BA;29;17873
BA;29;11336
BA;29;19829
BA;29;10985
BA;29;46459
BA;29;28131
BA;29;49014
BA;29;15301
BA;29;7245
BA;29;130512
BA;29;12118
BA;29;12725
BA;29;18986
BA;29;19376
BA;29;14652
BA;29;24155
BA;29;19048
BA;29;57248
BA;29;10644
BA;29;11855
BA;29;13834
BA;29;23494
BA;29;12851
BA;29;16526
BA;29;7476
BA;29;11685
BA;29;63976
BA;29;18235
BA;29;20495
BA;29;18484
BA;29;16072
BA;29;31507
BA;29;21636
BA;29;10227
BA;29;14318
BA;29;47507
BA;29;16760
BA;29;9457
BA;29;9127
BA;29;27993
BA;29;186399
BA;29;34077
BA;29;28367
BA;29;61859
BA;29;9880
BA;29;21698
BA;29;36504
BA;29;9810
BA;29;81319
BA;29;11875
BA;29;31055
BA;29;32483
BA;29;13760
BA;29;9208
BA;29;26088
BA;29;12641
BA;29;20733
BA;29;8872
BA;29;28148
BA;29;60292
BA;29;24939
BA;29;2999
BA;29;48425
BA;29;8689
BA;29;16121
BA;29;10462
BA;29;32849
BA;29;15317
BA;29;26204
BA;29;18446
BA;29;18256
BA;29;19102
BA;29;58358
BA;29;27881
BA;29;22620
BA;29;18123
BA;29;4008
BA;29;24783
BA;29;6925
BA;29;15651
BA;29;20964
BA;29;31906
BA;29;13833
BA;29;5145
BA;29;20196
BA;29;12668
BA;29;56738
BA;29;30866
BA;29;16102
BA;29;52553
BA;29;10785
BA;29;3668
BA;29;7871
BA;29;38856
BA;29;42538
BA;29;12814
BA;29;29295
BA;29;54949
BA;29;91085
BA;29;18614
BA;29;6180
BA;29;519173
BA;29;17297
BA;29;4989
BA;29;10421
BA;29;19760
BA;29;27519
BA;29;3599
BA;29;9701
BA;29;15454
BA;29;11328
BA;29;7576
BA;29;16809
BA;29;15043
BA;29;74876
BA;29;23743
BA;29;13997
BA;29;29751
BA;29;13305
BA;29;27989
BA;29;16373
BA;29;14869
BA;29;14291
BA;29;13508
BA;29;3806
BA;29;19813
BA;29;6483
BA;29;25791
BA;29;13127
BA;29;18223
BA;29;24600
BA;29;4052
BA;29;14810
BA;29;16122
BA;29;26237
BA;29;221294
BA;29;31545
BA;29;19413
BA;29;42788
BA;29;61271
BA;29;8801
BA;29;6366
BA;29;17735
BA;29;19015
BA;29;25827
BA;29;60785
BA;29;28259
BA;29;61611
BA;29;202523
BA;29;17960
BA;29;13857
BA;29;14667
BA;29;15793
BA;29;7646
BA;29;9500
BA;29;7968
BA;29;21269
BA;29;64060
BA;29;8099
BA;29;34415
BA;29;6789
BA;29;20364
BA;29;20941
BA;29;14123
BA;29;11151
BA;29;60217
BA;29;28579
BA;29;10335
BA;29;8210
BA;29;16773
BA;29;14065
BA;29;14079
BA;29;36128
BA;29;19434
BA;29;17584
BA;29;25970
BA;29;10308
BA;29;9568
BA;29;13305
BA;29;76479
BA;29;50340
BA;29;25499
BA;29;13387
BA;29;10952
BA;29;148449
BA;29;33103
BA;29;14600
BA;29;21171
BA;29;18842
BA;29;198065
BA;29;10512
BA;29;16025
BA;29;7087
BA;29;11421
BA;29;3577
BA;29;13682
BA;29;20259
BA;29;3199
BA;29;3391
BA;29;8933
BA;29;9137
BA;29;26684
BA;29;136258
BA;29;9590
BA;29;11456
BA;29;39913
BA;29;21454
BA;29;11984
BA;29;14870
BA;29;45301
BA;29;9557
BA;29;13500
BA;29;15372
BA;29;7066
BA;29;19734
BA;29;15821
BA;29;9014
BA;29;16539
BA;29;11434
BA;29;34007
BA;29;41085
BA;29;18812
BA;29;9294
BA;29;13997
BA;29;33611
BA;29;10937
BA;29;20299
BA;29;30295
BA;29;13488
BA;29;14061
BA;29;16476
BA;29;56231
BA;29;9205
BA;29;35894
BA;29;12439
BA;29;15400
BA;29;33427
BA;29;15826
BA;29;16357
BA;29;7280
BA;29;9460
BA;29;33779
BA;29;20447
BA;29;26576
BA;29;10660
BA;29;13075
BA;29;16162
BA;29;6044
BA;29;5454
BA;29;6569
BA;29;7773
BA;29;24267
BA;29;35414
BA;29;7639
BA;29;14891
BA;29;25164
BA;29;21960
BA;29;7772
BA;29;16957
BA;29;19905
BA;29;7711
BA;29;18732
BA;29;29474
BA;29;26880
BA;29;11442
BA;29;101568
BA;29;11727
BA;29;6739
BA;29;18057
BA;29;19320
BA;29;30079
BA;29;14939
BA;29;19238
BA;29;11195
BA;29;8714
BA;29;19059
BA;29;16400
BA;29;6748
BA;29;20774
BA;29;47486
BA;29;28085
BA;29;17195
BA;29;127048
BA;29;16729
BA;29;28481
BA;29;13999
BA;29;18543
BA;29;19850
BA;29;25357
BA;29;27617
BA;29;7177
BA;29;22614
BA;29;37219
BA;29;10681
BA;29;22756
BA;29;28566
BA;29;29353
BA;29;13883
BA;29;48200
BA;29;17547
BA;29;13710
BA;29;15312
BA;29;11963
BA;29;36070
BA;29;7267
BA;29;28500
