ESTADOS;UF;COD;POP
BRASIL;BR;55;192376496
RONDÔNIA;RO;11;1576423
ACRE;AC;12;746375
AMAZONAS;AM;13;3538359
RORAIMA;RR;14;460157
PARÁ;PA;15;7688531
AMAPÁ;AP;16;684301
TOCANTINS;TO;17;1400813
MARANHÃO;MA;21;6645665
PIAUÍ;PI;22;3140213
CEARÁ;CE;23;8530058
RIO GRANDE DO NORTE;RN;24;3198572
PARAÍBA;PB;25;3791200
PERNAMBUCO;PE;26;8864803
ALAGOAS;AL;27;3143338
SERGIPE;SE;28;2089783
BAHIA;BA;29;14097333
MINAS GERAIS;MG;31;19728252
ESPÍRITO SANTO;ES;32;3547013
RIO DE JANEIRO;RJ;33;16112637
SÃO PAULO;SP;35;41586892
PARANÁ;PR;41;10512151
SANTA CATARINA;SC;42;6316906
RIO GRANDE DO SUL;RS;43;10732770
MATO GROSSO DO SUL;MS;50;2477504
MATO GROSSO;MT;51;3075862
GOIÁS;GO;52;6080588
DISTRITO FEDERAL;DF;53;2609997
