ESTADOS;UF;COD;POP
BRASIL;BR;55;191480630
RONDÔNIA;RO;11;1503928
ACRE;AC;12;691132
AMAZONAS;AM;13;3393369
RORAIMA;RR;14;421499
PARÁ;PA;15;7431020
AMAPÁ;AP;16;626609
TOCANTINS;TO;17;1292051
MARANHÃO;MA;21;6367138
PIAUÍ;PI;22;3145325
CEARÁ;CE;23;8547809
RIO GRANDE DO NORTE;RN;24;3137541
PARAÍBA;PB;25;3769977
PERNAMBUCO;PE;26;8810256
ALAGOAS;AL;27;3156108
SERGIPE;SE;28;2019679
BAHIA;BA;29;14637364
MINAS GERAIS;MG;31;20033665
ESPÍRITO SANTO;ES;32;3487199
RIO DE JANEIRO;RJ;33;16010429
SÃO PAULO;SP;35;41384039
PARANÁ;PR;41;10686247
SANTA CATARINA;SC;42;6118743
RIO GRANDE DO SUL;RS;43;10914128
MATO GROSSO DO SUL;MS;50;2360498
MATO GROSSO;MT;51;3001692
GOIÁS;GO;52;5926300
DISTRITO FEDERAL;DF;53;2606885
