ESTADOS;UF;COD;POP
BRASIL;BR;55;202768562
RONDÔNIA;RO;11;1748531
ACRE;AC;12;790101
AMAZONAS;AM;13;3873743
RORAIMA;RR;14;496936
PARÁ;PA;15;8073924
AMAPÁ;AP;16;750912
TOCANTINS;TO;17;1496880
MARANHÃO;MA;21;6850884
PIAUÍ;PI;22;3194718
CEARÁ;CE;23;8842791
RIO GRANDE DO NORTE;RN;24;3408510
PARAÍBA;PB;25;3943885
PERNAMBUCO;PE;26;9277727
ALAGOAS;AL;27;3321730
SERGIPE;SE;28;2219574
BAHIA;BA;29;15126371
MINAS GERAIS;MG;31;20734097
ESPÍRITO SANTO;ES;32;3885049
RIO DE JANEIRO;RJ;33;16461173
SÃO PAULO;SP;35;44035304
PARANÁ;PR;41;11081692
SANTA CATARINA;SC;42;6727148
RIO GRANDE DO SUL;RS;43;11207274
MATO GROSSO DO SUL;MS;50;2619657
MATO GROSSO;MT;51;3224357
GOIÁS;GO;52;6523222
DISTRITO FEDERAL;DF;53;2852372
