SIGLA;COD;POP-2001
RO;11;26919
RO;11;13153
RO;11;13693
RO;11;19770
RO;11;76371
RO;11;28132
RO;11;7501
RO;11;5355
RO;11;73996
RO;11;12633
RO;11;13816
RO;11;4189
RO;11;18012
RO;11;5701
RO;11;21421
RO;11;10290
RO;11;10679
RO;11;6976
RO;11;25985
RO;11;14497
RO;11;38679
RO;11;7127
RO;11;53150
RO;11;107869
RO;11;23873
RO;11;11321
RO;11;13306
RO;11;13217
RO;11;17216
RO;11;15692
RO;11;8438
RO;11;12367
RO;11;40836
RO;11;3545
RO;11;31685
RO;11;2544
RO;11;342264
RO;11;26164
RO;11;4325
RO;11;3054
RO;11;47693
RO;11;11512
RO;11;7088
RO;11;11963
RO;11;25065
RO;11;12409
RO;11;5673
RO;11;11651
RO;11;15354
RO;11;8246
RO;11;9958
RO;11;55513
AC;12;8237
AC;12;3564
AC;12;17384
AC;12;6154
AC;12;5561
AC;12;69772
AC;12;11460
AC;12;27834
AC;12;4490
AC;12;11471
AC;12;6581
AC;12;8321
AC;12;15502
AC;12;11679
AC;12;5368
AC;12;261430
AC;12;8276
AC;12;2440
AC;12;30052
AC;12;20330
AC;12;26338
AC;12;12111
AM;13;12596
AM;13;7573
AM;13;6635
AM;13;11602
AM;13;14866
AM;13;9974
AM;13;25176
AM;13;25728
AM;13;23090
AM;13;23813
AM;13;11475
AM;13;11009
AM;13;27207
AM;13;30043
AM;13;9052
AM;13;10973
AM;13;23919
AM;13;26996
AM;13;17161
AM;13;70608
AM;13;17945
AM;13;26735
AM;13;19490
AM;13;33317
AM;13;13358
AM;13;32045
AM;13;15384
AM;13;33867
AM;13;73349
AM;13;8327
AM;13;7579
AM;13;10230
AM;13;7896
AM;13;23351
AM;13;28425
AM;13;75309
AM;13;12950
AM;13;1451958
AM;13;38059
AM;13;17679
AM;13;41142
AM;13;15560
AM;13;25020
AM;13;9120
AM;13;17777
AM;13;93883
AM;13;17156
AM;13;20568
AM;13;19739
AM;13;9949
AM;13;29505
AM;13;30787
AM;13;24145
AM;13;7478
AM;13;7972
AM;13;38922
AM;13;21198
AM;13;65697
AM;13;16178
AM;13;10883
AM;13;19240
AM;13;11572
RR;14;18706
RR;14;5455
RR;14;208514
RR;14;9985
RR;14;8922
RR;14;14910
RR;14;5775
RR;14;5027
RR;14;11271
RR;14;5929
RR;14;7229
RR;14;18903
RR;14;5146
RR;14;5550
RR;14;5915
PA;15;121415
PA;15;6145
PA;15;53272
PA;15;30677
PA;15;23236
PA;15;41461
PA;15;34002
PA;15;78760
PA;15;18813
PA;15;410234
PA;15;8908
PA;15;33335
PA;15;20550
PA;15;16119
PA;15;13652
PA;15;21255
PA;15;3703
PA;15;65385
PA;15;1304314
PA;15;15083
PA;15;37025
PA;15;13191
PA;15;9941
PA;15;95352
PA;15;17930
PA;15;7589
PA;15;35257
PA;15;81458
PA;15;21887
PA;15;16094
PA;15;16326
PA;15;99016
PA;15;11425
PA;15;57840
PA;15;50310
PA;15;138417
PA;15;17593
PA;15;10899
PA;15;43626
PA;15;21813
PA;15;5836
PA;15;18559
PA;15;20529
PA;15;9321
PA;15;26922
PA;15;41278
PA;15;31806
PA;15;10770
PA;15;14462
PA;15;24659
PA;15;24067
PA;15;23589
PA;15;32982
PA;15;53920
PA;15;7796
PA;15;27080
PA;15;30423
PA;15;95006
PA;15;52212
PA;15;25851
PA;15;42164
PA;15;32186
PA;15;19946
PA;15;24882
PA;15;7620
PA;15;173301
PA;15;27880
PA;15;25205
PA;15;80046
PA;15;21636
PA;15;21851
PA;15;20802
PA;15;54484
PA;15;60832
PA;15;25916
PA;15;20386
PA;15;12277
PA;15;11649
PA;15;27365
PA;15;43449
PA;15;47000
PA;15;23800
PA;15;49246
PA;15;14599
PA;15;19763
PA;15;29126
PA;15;7772
