ESTADOS;UF;COD;POP
BRASIL;BR;55;159636413
RONDÔNIA;RO;11;1255522
ACRE;AC;12;500185
AMAZONAS;AM;13;2460602
RORAIMA;RR;14;254499
PARÁ;PA;15;5650681
AMAPÁ;AP;16;401916
TOCANTINS;TO;17;1080753
MARANHÃO;MA;21;5295452
PIAUÍ;PI;22;2695876
CEARÁ;CE;23;6920292
RIO GRANDE DO NORTE;RN;24;2594340
PARAÍBA;PB;25;3331673
PERNAMBUCO;PE;26;7466773
ALAGOAS;AL;27;2663071
SERGIPE;SE;28;1657164
BAHIA;BA;29;12709744
MINAS GERAIS;MG;31;16904977
ESPÍRITO SANTO;ES;32;2853098
RIO DE JANEIRO;RJ;33;13555657
SÃO PAULO;SP;35;34752225
PARANÁ;PR;41;9142215
SANTA CATARINA;SC;42;4958339
RIO GRANDE DO SUL;RS;43;9762110
MATO GROSSO DO SUL;MS;50;1964603
MATO GROSSO;MT;51;2287846
GOIÁS;GO;52;4639785
DISTRITO FEDERAL;DF;53;1877015
