ESTADOS;UF;COD;POP
BRASIL;BR;55;193946886
RONDÔNIA;RO;11;1590011
ACRE;AC;12;758786
AMAZONAS;AM;13;3590985
RORAIMA;RR;14;469524
PARÁ;PA;15;7792561
AMAPÁ;AP;16;698602
TOCANTINS;TO;17;1417694
MARANHÃO;MA;21;6714314
PIAUÍ;PI;22;3160748
CEARÁ;CE;23;8606005
RIO GRANDE DO NORTE;RN;24;3228198
PARAÍBA;PB;25;3815171
PERNAMBUCO;PE;26;8931028
ALAGOAS;AL;27;3165472
SERGIPE;SE;28;2110867
BAHIA;BA;29;14175341
MINAS GERAIS;MG;31;19855332
ESPÍRITO SANTO;ES;32;3578067
RIO DE JANEIRO;RJ;33;16231365
SÃO PAULO;SP;35;41901219
PARANÁ;PR;41;10577755
SANTA CATARINA;SC;42;6383286
RIO GRANDE DO SUL;RS;43;10770603
MATO GROSSO DO SUL;MS;50;2505088
MATO GROSSO;MT;51;3115336
GOIÁS;GO;52;6154996
DISTRITO FEDERAL;DF;53;2648532
