ESTADOS;UF;COD;POP
BRASIL;BR;55;204450649
RONDÔNIA;RO;11;1768204
ACRE;AC;12;803513
AMAZONAS;AM;13;3938336
RORAIMA;RR;14;505665
PARÁ;PA;15;8175113
AMAPÁ;AP;16;766679
TOCANTINS;TO;17;1515126
MARANHÃO;MA;21;6904241
PIAUÍ;PI;22;3204028
CEARÁ;CE;23;8904459
RIO GRANDE DO NORTE;RN;24;3442175
PARAÍBA;PB;25;3972202
PERNAMBUCO;PE;26;9345173
ALAGOAS;AL;27;3340932
SERGIPE;SE;28;2242937
BAHIA;BA;29;15203934
MINAS GERAIS;MG;31;20869101
ESPÍRITO SANTO;ES;32;3929911
RIO DE JANEIRO;RJ;33;16550024
SÃO PAULO;SP;35;44396484
PARANÁ;PR;41;11163018
SANTA CATARINA;SC;42;6819190
RIO GRANDE DO SUL;RS;43;11247972
MATO GROSSO DO SUL;MS;50;2651235
MATO GROSSO;MT;51;3265486
GOIÁS;GO;52;6610681
DISTRITO FEDERAL;DF;53;2914830
