ESTADOS;UF;COD;POP
BRASIL;BR;55;163947554
RONDÔNIA;RO;11;1296856
ACRE;AC;12;527937
AMAZONAS;AM;13;2580860
RORAIMA;RR;14;266922
PARÁ;PA;15;5886454
AMAPÁ;AP;16;439781
TOCANTINS;TO;17;1134895
MARANHÃO;MA;21;5418349
PIAUÍ;PI;22;2734152
CEARÁ;CE;23;7106605
RIO GRANDE DO NORTE;RN;24;2654501
PARAÍBA;PB;25;3375609
PERNAMBUCO;PE;26;7580826
ALAGOAS;AL;27;2713203
SERGIPE;SE;28;1712786
BAHIA;BA;29;12993011
MINAS GERAIS;MG;31;17295955
ESPÍRITO SANTO;ES;32;2938062
RIO DE JANEIRO;RJ;33;13807358
SÃO PAULO;SP;35;35816740
PARANÁ;PR;41;9375592
SANTA CATARINA;SC;42;5098448
RIO GRANDE DO SUL;RS;43;9971910
MATO GROSSO DO SUL;MS;50;2026600
MATO GROSSO;MT;51;2375549
GOIÁS;GO;52;4848725
DISTRITO FEDERAL;DF;53;1969868
