SIGLA;COD;POP-2003
RO;11;27563
RO;11;13852
RO;11;14532
RO;11;19711
RO;11;79680
RO;11;32774
RO;11;7478
RO;11;5411
RO;11;74758
RO;11;14446
RO;11;14874
RO;11;4162
RO;11;17794
RO;11;5991
RO;11;20412
RO;11;10022
RO;11;10255
RO;11;7662
RO;11;26468
RO;11;15785
RO;11;39728
RO;11;7604
RO;11;54701
RO;11;109573
RO;11;25645
RO;11;11292
RO;11;13570
RO;11;14400
RO;11;17458
RO;11;17098
RO;11;8772
RO;11;12543
RO;11;40822
RO;11;3448
RO;11;31612
RO;11;2571
RO;11;353961
RO;11;25926
RO;11;4345
RO;11;3215
RO;11;48434
RO;11;11380
RO;11;7143
RO;11;14370
RO;11;26927
RO;11;13584
RO;11;5733
RO;11;12468
RO;11;16081
RO;11;9081
RO;11;10105
RO;11;58687
AC;12;8695
AC;12;3667
AC;12;17944
AC;12;6641
AC;12;6096
AC;12;73488
AC;12;12137
AC;12;29480
AC;12;4529
AC;12;12097
AC;12;6905
AC;12;8362
AC;12;16031
AC;12;12116
AC;12;5189
AC;12;274555
AC;12;8540
AC;12;2729
AC;12;31029
AC;12;21174
AC;12;26834
AC;12;12357
AM;13;13278
AM;13;8100
AM;13;6729
AM;13;12038
AM;13;16369
AM;13;10682
AM;13;26575
AM;13;28252
AM;13;24508
AM;13;24731
AM;13;12148
AM;13;11399
AM;13;27561
AM;13;32131
AM;13;9410
AM;13;10301
AM;13;24691
AM;13;26241
AM;13;16992
AM;13;75850
AM;13;18753
AM;13;27831
AM;13;19898
AM;13;36150
AM;13;13751
AM;13;30949
AM;13;16332
AM;13;36439
AM;13;76217
AM;13;8197
AM;13;7978
AM;13;10133
AM;13;7058
AM;13;24844
AM;13;27694
AM;13;78785
AM;13;13325
AM;13;1527314
AM;13;38094
AM;13;18694
AM;13;42974
AM;13;16003
AM;13;27045
AM;13;8304
AM;13;18809
AM;13;99813
AM;13;17109
AM;13;20569
AM;13;20990
AM;13;9064
AM;13;31601
AM;13;32044
AM;13;26036
AM;13;7967
AM;13;8426
AM;13;40998
AM;13;19119
AM;13;67688
AM;13;17200
AM;13;11747
AM;13;20542
AM;13;10598
RR;14;19970
RR;14;5684
RR;14;221027
RR;14;10949
RR;14;9511
RR;14;15987
RR;14;5779
RR;14;5410
RR;14;11445
RR;14;5743
RR;14;7592
RR;14;20944
RR;14;5259
RR;14;5891
RR;14;6111
PA;15;125055
PA;15;6446
PA;15;56729
PA;15;32431
PA;15;26779
PA;15;40914
PA;15;34116
PA;15;80861
PA;15;19566
PA;15;437135
PA;15;8164
PA;15;33839
PA;15;21998
PA;15;16948
PA;15;13666
PA;15;21442
PA;15;3599
PA;15;68604
PA;15;1342202
PA;15;15872
PA;15;39809
PA;15;13575
PA;15;10209
PA;15;97935
PA;15;18941
PA;15;7789
PA;15;38200
PA;15;82628
PA;15;23162
PA;15;16565
PA;15;17655
PA;15;101455
PA;15;12151
PA;15;58953
PA;15;51099
PA;15;144485
PA;15;17335
PA;15;11339
PA;15;43798
PA;15;22715
PA;15;6073
PA;15;17110
PA;15;21498
PA;15;9524
PA;15;27903
PA;15;44201
PA;15;35195
PA;15;12123
PA;15;14725
PA;15;25376
PA;15;26273
PA;15;24370
PA;15;33969
PA;15;55919
PA;15;7993
PA;15;30020
PA;15;30336
PA;15;95486
PA;15;56146
PA;15;28467
PA;15;43806
PA;15;33643
PA;15;20516
PA;15;24196
PA;15;7805
PA;15;181683
PA;15;28186
PA;15;26145
PA;15;85652
PA;15;21901
PA;15;23074
PA;15;21172
PA;15;56810
PA;15;63396
PA;15;26422
PA;15;22665
PA;15;12900
PA;15;12016
PA;15;30907
PA;15;45906
PA;15;47779
PA;15;24630
PA;15;50694
PA;15;14900
PA;15;19714
PA;15;29843
PA;15;8165
PA;15;81630
PA;15;81428
PA;15;7880
PA;15;8313
PA;15;13387
PA;15;14319
PA;15;19370
PA;15;40690
PA;15;26189
PA;15;29830
PA;15;10258
PA;15;11440
PA;15;66933
PA;15;14714
PA;15;42554
PA;15;26259
PA;15;36770
PA;15;16113
PA;15;12184
PA;15;5403
PA;15;46276
PA;15;19574
PA;15;12103
PA;15;21745
PA;15;35930
PA;15;268180
PA;15;5726
PA;15;20669
PA;15;15184
PA;15;21766
PA;15;29416
PA;15;37618
PA;15;15054
PA;15;27477
PA;15;3985
PA;15;17861
PA;15;14314
PA;15;43964
PA;15;18507
PA;15;3361
PA;15;13455
PA;15;20721
PA;15;44820
PA;15;9181
PA;15;15760
PA;15;49081
PA;15;24555
PA;15;15647
PA;15;23440
PA;15;79551
PA;15;22894
PA;15;51320
PA;15;41026
PA;15;52139
PA;15;10752
PA;15;32880
AP;16;7265
AP;16;7208
AP;16;3774
AP;16;3935
AP;16;3381
AP;16;32133
AP;16;318761
AP;16;12933
AP;16;14528
AP;16;4794
AP;16;12828
AP;16;2553
AP;16;89369
AP;16;3724
AP;16;7869
AP;16;9780
TO;17;2273
TO;17;3355
TO;17;6308
TO;17;8727
TO;17;8413
TO;17;11197
TO;17;2893
TO;17;3594
TO;17;7194
TO;17;5702
TO;17;9181
TO;17;120213
TO;17;4817
TO;17;27646
TO;17;6865
TO;17;10974
TO;17;13781
TO;17;2987
TO;17;8471
TO;17;10716
TO;17;2622
TO;17;3661
TO;17;4839
TO;17;4624
TO;17;2273
TO;17;1989
TO;17;4551
TO;17;7911
TO;17;2192
TO;17;6334
TO;17;3066
TO;17;2075
TO;17;3740
TO;17;3933
TO;17;2233
TO;17;3458
TO;17;1234
TO;17;26620
TO;17;9543
TO;17;4417
TO;17;4459
TO;17;4150
TO;17;7128
TO;17;1462
TO;17;4576
TO;17;16196
TO;17;5927
TO;17;7060
TO;17;4623
TO;17;8438
TO;17;3831
TO;17;5397
TO;17;8441
TO;17;19436
TO;17;2511
TO;17;4743
TO;17;10928
TO;17;20500
TO;17;68284
TO;17;1173
TO;17;6712
TO;17;6519
TO;17;3417
TO;17;2174
TO;17;3195
TO;17;2473
TO;17;7391
TO;17;2695
TO;17;2831
TO;17;1215
TO;17;3670
TO;17;2216
TO;17;3640
TO;17;1774
TO;17;3133
TO;17;26026
TO;17;12077
TO;17;4777
TO;17;1902
TO;17;2658
TO;17;9241
TO;17;5458
TO;17;9914
TO;17;3225
TO;17;3241
TO;17;2399
TO;17;2345
TO;17;992
TO;17;172176
TO;17;3633
TO;17;5167
TO;17;6376
TO;17;38710
TO;17;10247
TO;17;4483
TO;17;9023
TO;17;8727
TO;17;4992
TO;17;4604
TO;17;3207
TO;17;4942
TO;17;4438
TO;17;6146
TO;17;2482
TO;17;45887
TO;17;7509
TO;17;3818
TO;17;2272
TO;17;3454
TO;17;3703
TO;17;1332
TO;17;2504
TO;17;5810
TO;17;2654
TO;17;3486
TO;17;6117
TO;17;2325
TO;17;1888
TO;17;4468
TO;17;2243
TO;17;2619
TO;17;3384
TO;17;1405
TO;17;8956
TO;17;2783
TO;17;4030
TO;17;5487
TO;17;4370
TO;17;10212
TO;17;1376
TO;17;13714
